amount,details,expenseDate,card,requiredType,occurance,category,frequency
2410,Cash for regular use,2020-08-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
270,Stationaries,2020-08-01T11:08:39.000+00:00,Zing Current Account,Must,One Time,Education,Monthly
1093,Grocery,2020-08-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
899,Saket Sweat shirt,2020-07-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Clothing,Monthly
1694,Elica burner,2020-07-01T11:08:39.000+00:00,Zing Current Account,Must,One Time,One Time,Monthly
2792,Milk refill,2020-08-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
950,Chinni Cake (Grocery),2020-08-01T11:08:39.000+00:00,Pinky HDFC Debit Card,Must,One Time,Grocery,Monthly
197,Medicine (Medical),2020-08-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Medical,Monthly
292,Vegetables (Grocery),2020-08-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
467,Grocery,2020-08-01T11:08:39.000+00:00,Zing Current Account,Must,One Time,Grocery,Monthly
959,Grocery,2020-08-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
2196,Bata slippers,2020-08-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Clothing,Monthly
600,Stuti dance tuition fee,2020-08-01T11:08:39.000+00:00,Zing Current Account,Must,Recursive,Education,Monthly
300,Medicine (Medical),2020-08-01T11:08:39.000+00:00,Zing Current Account,Must,One Time,Medical,Monthly
210,Sweet (Grocery),2020-08-01T11:08:39.000+00:00,Zing Current Account,Nice,One Time,Grocery,Monthly
570,Bakery items (Grocery),2020-08-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Grocery,Monthly
825,Grocery,2020-08-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
1387,Zing/Saket/Pinky Mobile Recharge,2020-08-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Regular Expenses,Monthly
3214,"Chinni dress, thermos, filter",2020-08-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Clothing,Monthly
1250,"Wahing powder, other (Grocery)",2020-08-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Grocery,Monthly
100,Pen (Grocery),2020-08-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Education,Monthly
4236,Washing m/c repair,2020-08-01T11:08:39.000+00:00,Zing Current Account,Must,One Time,One Time,Monthly
599,iPhone 5S Battery,2020-08-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,One Time,Monthly
754,Pizza,2020-08-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Hotel,Monthly
784,Grocery,2020-08-01T11:08:39.000+00:00,Zing Current Account,Must,Recursive,Grocery,Monthly
244,Gloves (Grocery),2020-08-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Grocery,Monthly
320,Chips (Grocery),2020-08-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
2290,Saket books,2020-08-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Education,Monthly
1636,BESCOM,2020-08-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
1628,Grocery,2020-08-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
711,Vegetables (Grocery),2020-08-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
38490,New Laptop,2020-09-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,One Time,Yearly,Yearly
4500,New Melody Khata,2020-09-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Yearly,Yearly
5996,Car Insurance,2020-09-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Yearly,Monthly
6800,Home Expense,2020-09-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
2130,Cash for regular use,2020-09-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
667,Milk refill,2020-09-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
313,Cable TV,2020-09-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
490,Chinni books,2020-09-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Education,Monthly
320,Snacks (Grocery),2020-09-01T11:08:39.000+00:00,Zing Current Account,Nice,One Time,Grocery,Monthly
1697,BESCOM,2020-09-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
1868,Pinky and Chinni dress,2020-08-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Clothing,Monthly
600,Stuti dance tuition fee,2020-09-01T11:08:39.000+00:00,Zing Current Account,Must,Recursive,Education,Monthly
400,Snacks (Grocery),2020-09-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Grocery,Monthly
589,AirTel,2020-09-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
230,Cake (Grocery),2020-08-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
2024,Grocery,2020-08-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
1259,Vegetables (Grocery),2020-09-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
578,Vegetables (Grocery),2020-09-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
630,Cooking gas,2020-09-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,One Time,Regular Expenses,Monthly
340,Snacks (Grocery),2020-09-01T11:08:39.000+00:00,Zing Current Account,Nice,One Time,Grocery,Monthly
1273,Saket KVPY Exam fee,2020-09-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Education,Monthly
1549,Grocery (Grocery),2020-09-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
2500,Driving License,2020-09-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,One Time,One Time,Monthly
330,Sweet (Grocery),2020-09-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
1184,Pizza,2020-09-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Hotel,Monthly
909,Grocery,2020-09-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
280,Rusk (Grocery),2020-09-01T11:08:39.000+00:00,Zing Current Account,Nice,One Time,Grocery,Monthly
1232,Medicine (Medical),2020-09-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Medical,Monthly
1754,Plants,2020-09-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,One Time,Monthly
2396,Grocery,2020-09-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
950,Stuti Cycle Repair,2020-09-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,One Time,Monthly
1354,Chinni dress,2020-09-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Clothing,Monthly
1500,Petrol,2020-09-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Local Transport,Monthly
14820,Melody,2020-10-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Yearly,Yearly
10000,Pinky,2020-10-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Yearly,Yearly
6800,Home Expense,2020-10-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
540,Snacks (Grocery),2020-09-01T11:08:39.000+00:00,Zing Current Account,Nice,One Time,Grocery,Monthly
4055,Cash for regular use,2020-10-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
1827,Grocery,2020-09-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
560,Medicine (Medical),2020-09-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Medical,Monthly
1386,Airtel,2020-10-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
1710,Milk refill,2020-10-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
1024,Medicine (Medical),2020-10-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Medical,Monthly
321,Cable TV,2020-10-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
1000,Kundagol,2020-10-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Donation,Monthly
540,Cloths (Baniyan),2020-10-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Clothing,Monthly
2470,Grocery,2020-10-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
153,Vegetables (Grocery),2020-10-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
442,Medicine (Medical),2020-10-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Medical,Monthly
1662,BESCOM,2020-10-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
599,Oximeter,2020-10-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,One Time,Monthly
1910,Iron and Vitamin Tablets for Chinni & Rashmi (Medical),2020-10-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Nice,One Time,Medical,Monthly
2330,Grocery,2020-10-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Grocery,Monthly
250,Snacks (Grocery),2020-10-01T11:08:39.000+00:00,Zing Current Account,Nice,One Time,Grocery,Monthly
600,Stuti dance tuition fee,2020-10-01T11:08:39.000+00:00,Zing Current Account,Must,Recursive,Education,Monthly
852,Grocery,2020-10-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
696,Haircut (Zing & Saket),2020-10-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Regular Expenses,Monthly
370,Sweets (Grocery),2020-10-01T11:08:39.000+00:00,Zing Current Account,Nice,One Time,Grocery,Monthly
941,Gift to Pinky's father,2020-10-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Gift,Monthly
412,Vegetables (Grocery),2020-10-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
516,Lunch outside,2020-10-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Hotel,Monthly
490,Loreal - Hair die for Pinky (Grocery),2020-10-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Grocery,Monthly
4450,"Laptop battery, keyboard and TV Remote",2020-10-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,One Time,One Time,Monthly
9500,Travel to Hubli,2020-10-25T11:08:39.000+00:00,Zing HDFC Dabit Card,Nice,One Time,Yearly,Yearly
999,Amazon Prime Membership,2020-10-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Yearly,Monthly
901,Power bank,2020-10-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,One Time,Monthly
856,Grocery,2020-10-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
240,Sweets (Grocery),2020-10-01T11:08:39.000+00:00,Zing Current Account,Must,Recursive,Grocery,Monthly
977,Puma T Shirts,2020-10-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Clothing,Monthly
299,Gift for Saket's Friend (Deo),2020-10-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Gift,Monthly
295,Floss (Grocery),2020-10-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Grocery,Monthly
1041,Grocery,2020-10-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Grocery,Monthly
1510,Dry fruits (Grocery),2020-10-01T11:08:39.000+00:00,Zing Current Account,Must,One Time,Grocery,Monthly
630,Snacks (Grocery),2020-10-01T11:08:39.000+00:00,Zing Current Account,Nice,One Time,Grocery,Monthly
375,Chinni t shirt,2020-10-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Clothing,Monthly
1760,Grocery,2020-10-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Grocery,Monthly
520,Cake (Grocery),2020-10-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Grocery,Monthly
640,Lunch Outside,2020-10-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Hotel,Monthly
4800,"Pinky, chinni dress and Vidhi gift",2020-11-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Nice,One Time,Clothing,Monthly
5340,Cash for regular use,2020-11-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
336,Cable TV,2020-11-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
345,Plant pots,2020-10-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,One Time,Monthly
6800,Home Expense,2020-11-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
1462,BESCOM,2020-11-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
760,Grocery,2020-11-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
988,Airtel,2020-11-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
1000,Petrol,2020-11-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Local Transport,Monthly
300,Gift to Pinky's father,2020-10-01T11:08:39.000+00:00,Zing Current Account,Nice,One Time,Gift,Monthly
1800,Milk refill,2020-11-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
597,Gas booking,2020-11-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
600,Stuti Dance,2020-11-01T11:08:39.000+00:00,Zing Current Account,Must,Recursive,Education,Monthly
220,Rusk (Grocery),2020-11-01T11:08:39.000+00:00,Zing Current Account,Nice,One Time,Grocery,Monthly
956,Grocery,2020-11-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
1659,Quilt cover,2020-11-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,One Time,Monthly
2009,Grocery,2020-11-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
1696,Saket books,2020-11-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Education,Monthly
500,Buffello Milk,2020-11-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
2519,Medical expenses  (Medical),2020-11-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Medical,Monthly
1159,LED Lights,2020-11-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,One Time,Monthly
1600,Bonus to Bai's,2020-11-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,One Time,Yearly,Monthly
2000,Rashi Saadi,2020-11-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,One Time,Clothing,Monthly
180,Breakfast,2020-11-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Hotel,Monthly
149,Screen guard for Saket,2020-11-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,One Time,Monthly
1103,Grocery,2020-11-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
620,Sweets (Grocery),2020-11-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Grocery,Monthly
1523,Grocery,2020-11-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
1063,Grocery,2020-11-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
670,Gold chain repair,2020-11-01T11:08:39.000+00:00,Zing Current Account,Must,One Time,One Time,Monthly
734,Pizza,2020-11-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Hotel,Monthly
1000,Petrol,2020-12-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Local Transport,Monthly
1414,Grocery,2020-12-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
6800,Home Expense,2020-12-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
798,Mobile recharge,2020-11-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
1895,Plants to Deewali gift,2020-11-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Gift,Monthly
3118,Medical expenses  (Medical),2020-11-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Medical,Monthly
3000,Cash for regular use,2020-12-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
331,Cable TV,2020-12-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
4300,Innerwears,2020-12-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Clothing,Monthly
1632,Dinner outside,2020-12-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Hotel,Monthly
1290,Saket books,2020-12-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Education,Monthly
740,Cake (Grocery),2020-12-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Grocery,Monthly
1763,BESCOM,2020-12-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
334,Lunch outside,2020-12-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Hotel,Monthly
2288,Grocery,2020-12-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
600,Stuti Dance,2020-12-01T11:08:39.000+00:00,Zing Current Account,Must,Recursive,Education,Monthly
1109,Grocery,2020-12-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
408,Saket Olympiod,2020-12-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Education,Monthly
250,Cera,2020-12-01T11:08:39.000+00:00,Zing Current Account,Must,One Time,One Time,Monthly
1147,Gift items Chinni,2020-12-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Gift,Monthly
4000,Aquagaurd Filter replacement,2020-12-01T11:08:39.000+00:00,Zing Current Account,Must,One Time,Yearly,Monthly
2460,Milk refill,2020-12-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
2500,Doctor Alergy,2020-12-01T11:08:39.000+00:00,Zing Current Account,Must,One Time,Medical,Monthly
732,Medicines (Medical),2020-12-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Medical,Monthly
363,Medicine,2020-12-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Medical,Monthly
215,Vegetables (Grocery),2020-12-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
1250,Grocery,2020-12-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
758,Grocery,2020-12-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
1727,Grocery,2020-12-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
150,X Mas Tree,2020-12-01T11:08:39.000+00:00,Zing Current Account,Nice,One Time,One Time,Monthly
2600,Saket JEE Main entrance fees,2020-12-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,One Time,One Time,Monthly
917,Grocery,2020-12-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
1000,Petrol,2020-12-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Local Transport,Monthly
974,Saket books,2020-12-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,One Time,Monthly
1979,Tawa and Grill pan,2020-12-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,One Time,Monthly
730,Cylender,2020-12-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
328,Gift item Chinni,2020-12-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Gift,Monthly
425,Dinner outside,2020-12-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Hotel,Monthly
630,Face cream for Pinky,2020-12-01T11:08:39.000+00:00,Pinky Canara Debit Card,Nice,One Time,Grocery,Monthly
169,Zing Hair die,2020-12-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Grocery,Monthly
351,Grocery,2020-12-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
1600,Grocery,2020-12-01T11:08:39.000+00:00,Zing Credit Card,Nice,Recursive,Grocery,Monthly
196,Jet Pipe,2020-12-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Grocery,Monthly
1574,Track pants,2020-12-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Clothing,Monthly
1000,Petrol,2020-12-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Local Transport,Monthly
440,Saket books,2020-12-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Education,Monthly
310,Lunch outside,2020-12-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Hotel,Monthly
2498,Airtel,2020-12-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Yearly,Monthly
14820,Melody,2021-01-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Yearly,Yearly
10000,Pinky,2021-01-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Yearly,Yearly
1050,PES Entrance,2021-01-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,One Time,Education,Monthly
1155,VIT Entrance,2021-01-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,One Time,Education,Monthly
1387,Hair cut,2021-01-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
7000,Home expenses (Monthly),2021-01-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
1671,Grocery,2021-01-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
1500,Kundagol,2021-01-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Nice,Recursive,Donation,Monthly
1814,Grocery,2021-01-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
1999,BESCOM,2021-01-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
200,Calander Gift to Mohit,2021-01-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Gift,Monthly
2468,Milk Refill,2021-01-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
600,Stuti Dance,2021-01-01T11:08:39.000+00:00,Zing Current Account,Must,Recursive,Regular Expenses,Monthly
5062,Internet for 7 month,2021-01-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
1200,Covid test for Saket,2021-01-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Medical,Monthly
1732,Grocery,2021-01-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
293,Mask + Slippers,2021-01-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Clothing,Monthly
261,Medicine,2021-01-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Medical,Monthly
3873,"T-Shirt, Pant, Inners for Saket",2021-01-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Clothing,Monthly
1500,Petrol,2021-01-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Local Transport,Monthly
1614,Router for internet,2021-01-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,One Time,Monthly
768,Grocery,2021-01-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
1400,"Pinky, Stuti Hair cut",2021-01-01T11:08:39.000+00:00,Zing Current Account,Must,Recursive,Regular Expenses,Monthly
100,Stationary,2021-01-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Education,Monthly
4260,Cash for regular use,2021-01-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
330,Cable,2021-01-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
1708,Pinky - birthday gift to Zing,2021-01-01T11:08:39.000+00:00,Pinky Canara Debit Card,Nice,One Time,Clothing,Monthly
308,Mc Donald,2021-01-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Hotel,Monthly
897,Airtel + screen guard,2021-01-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
1790,Grocery,2021-01-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
545,Medicine,2021-01-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Medical,Monthly
734,Pizza,2021-01-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Hotel,Monthly
1500,Petrol,2021-01-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Local Transport,Monthly
1130,Grocery,2021-01-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
2000,New year celebration,2021-01-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Nice,One Time,Hotel,Monthly
8500,Home expenses (Monthly),2021-02-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
3860,Cash for regular use,2021-02-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
516,Pinky books,2021-01-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Education,Monthly
3044,Hotel with family,2021-02-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Hotel,Monthly
3784,Pinky Face cream,2021-02-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Nice,One Time,Medical,Monthly
851,Grocery,2021-02-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Grocery,Monthly
1677,BESCOM,2021-02-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
360,Cable,2021-02-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
1500,Petrol,2021-02-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Local Transport,Monthly
4042,Grocery,2021-02-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
1087,Stuti pimple,2021-02-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Medical,Monthly
600,Stuti Dance,2021-02-01T11:08:39.000+00:00,Zing Current Account,Must,Recursive,Education,Monthly
1668,Milk refill,2021-02-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
891,Grocery,2021-02-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
1600,Grocery,2021-02-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
528,Lunch outside,2021-02-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Hotel,Monthly
423,KFC for Saket,2021-02-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Hotel,Monthly
300,Dinner outside,2021-02-01T11:08:39.000+00:00,Zing Current Account,Nice,One Time,Hotel,Monthly
300,Ice cream,2021-02-01T11:08:39.000+00:00,Pinky Canara Debit Card,Nice,One Time,Hotel,Monthly
772,Cylender,2021-02-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
3923,Grocery,2021-02-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
